step, s/batch, lr, train_loss, dev.quy-dev_loss
0, n/a, 7.3e-07, n/a, 7.672
128, 2.7, 9.375e-05, 6.62, 4.414
256, 2.54, 0.0001875, 3.99, 3.599
384, 2.61, 0.00028125, 3.28, 3.285
512, 2.68, 0.000375, 2.94, 3.221
640, 2.73, 0.00046875, 2.71, 3.051
768, 2.67, 0.0005625, 2.55, 2.98
896, 2.51, 0.00065625, 2.38, 2.895
1024, 2.54, 0.00075, 2.27, 2.863
1152, 2.55, 0.00074375, 2.21, 2.823
1280, 2.76, 0.0007375, 2.16, 2.808
1408, 2.64, 0.00073125, 2.07, 2.792
1536, 2.64, 0.000725, 2.03, 2.757
1664, 2.68, 0.00071875, 2.01, 2.756
1792, 2.56, 0.0007125, 1.97, 2.741
1920, 2.57, 0.00070625, 1.94, 2.744
2048, 2.51, 0.0007, 1.91, 2.752
2176, 2.55, 0.00069375, 1.89, 2.772
2304, 2.53, 0.0006875, 1.89, 2.737
2432, 2.57, 0.00068125, 1.87, 2.709
2560, 2.54, 0.000675, 1.86, 2.774
2688, 2.53, 0.00066875, 1.85, 2.715
2816, 2.52, 0.0006625, 1.85, 2.722
2944, 2.52, 0.00065625, 1.82, 2.733
3072, 2.51, 0.00065, 1.8, 2.706
3200, 2.53, 0.00064375, 1.8, 2.742
3328, 2.5, 0.0006375, 1.78, 2.727
3456, 2.57, 0.00063125, 1.8, 2.722
3584, 2.54, 0.000625, 1.78, 2.716
3712, 2.58, 0.00061875, 1.79, 2.691
3840, 2.57, 0.0006125, 1.76, 2.717
3968, 2.53, 0.00060625, 1.76, 2.732
4096, 2.55, 0.0006, 1.76, 2.679
4224, 2.52, 0.00059375, 1.74, 2.7
4352, 2.53, 0.0005875, 1.74, 2.715
4480, 2.54, 0.00058125, 1.73, 2.7
4608, 2.53, 0.000575, 1.73, 2.697
4736, 2.5, 0.00056875, 1.71, 2.689
4864, 2.53, 0.0005625, 1.72, 2.683
4992, 2.49, 0.00055625, 1.69, 2.694
5120, 2.52, 0.00055, 1.7, 2.679
5248, 2.54, 0.00054375, 1.68, 2.683
5376, 2.52, 0.0005375, 1.69, 2.691
5504, 2.5, 0.00053125, 1.67, 2.686
5632, 2.54, 0.000525, 1.68, 2.668
5760, 2.53, 0.00051875, 1.67, 2.698
5888, 2.51, 0.0005125, 1.66, 2.671
6016, 2.52, 0.00050625, 1.64, 2.68
6144, 2.52, 0.0005, 1.63, 2.686
6272, 2.49, 0.00049375, 1.63, 2.67
6400, 2.52, 0.0004875, 1.63, 2.647
6528, 2.52, 0.00048125, 1.63, 2.662
6656, 2.52, 0.000475, 1.61, 2.669
6784, 2.47, 0.00046875, 1.61, 2.662
6912, 2.51, 0.0004625, 1.59, 2.666
7040, 2.5, 0.00045625, 1.59, 2.666
7168, 2.51, 0.00045, 1.6, 2.655
7296, 2.51, 0.00044375, 1.61, 2.645
7424, 2.48, 0.0004375, 1.58, 2.634
7552, 2.52, 0.00043125, 1.58, 2.634
7680, 2.51, 0.000425, 1.56, 2.656
7808, 2.52, 0.00041875, 1.56, 2.648
7936, 2.46, 0.0004125, 1.55, 2.651
8064, 2.54, 0.00040625, 1.56, 2.627
8192, 2.47, 0.0004, 1.55, 2.642
8320, 2.49, 0.00039375, 1.56, 2.66
8448, 2.5, 0.0003875, 1.55, 2.624
8576, 2.52, 0.00038125, 1.55, 2.63
8704, 2.53, 0.000375, 1.53, 2.621
8832, 2.52, 0.00036875, 1.53, 2.645
8960, 2.5, 0.0003625, 1.53, 2.631
9088, 2.48, 0.00035625, 1.51, 2.636
9216, 2.5, 0.00035, 1.52, 2.621
9344, 2.5, 0.00034375, 1.53, 2.62
9472, 2.52, 0.0003375, 1.51, 2.613
9600, 2.5, 0.00033125, 1.52, 2.619
9728, 2.49, 0.000325, 1.5, 2.626
9856, 2.48, 0.00031875, 1.51, 2.623
9984, 2.52, 0.0003125, 1.51, 2.632
10112, 2.55, 0.00030625, 1.5, 2.623
10240, 2.5, 0.0003, 1.49, 2.637
10368, 2.47, 0.00029375, 1.48, 2.624
10496, 2.53, 0.0002875, 1.5, 2.621
10624, 2.51, 0.00028125, 1.49, 2.629
10752, 2.52, 0.000275, 1.5, 2.632
10880, 2.49, 0.00026875, 1.48, 2.622
11008, 2.51, 0.0002625, 1.48, 2.624
11136, 2.55, 0.00025625, 1.48, 2.619
11264, 2.51, 0.00025, 1.46, 2.625
11392, 2.46, 0.00024375, 1.47, 2.607
11520, 2.51, 0.0002375, 1.47, 2.631
11648, 2.56, 0.00023125, 1.46, 2.613
11776, 2.54, 0.000225, 1.48, 2.614
11904, 2.49, 0.00021875, 1.47, 2.617
12032, 2.47, 0.0002125, 1.46, 2.606
12160, 2.54, 0.00020625, 1.47, 2.62
12288, 2.52, 0.0002, 1.46, 2.617
12416, 2.52, 0.00019375, 1.47, 2.614
12544, 2.48, 0.0001875, 1.46, 2.616
12672, 2.51, 0.00018125, 1.45, 2.615
12800, 2.51, 0.000175, 1.44, 2.605
12928, 2.56, 0.00016875, 1.45, 2.616
13056, 2.5, 0.0001625, 1.45, 2.614
13184, 2.52, 0.00015625, 1.46, 2.617
13312, 2.49, 0.00015, 1.44, 2.619
13440, 2.56, 0.00014375, 1.44, 2.615
13568, 2.51, 0.0001375, 1.45, 2.622
13696, 2.51, 0.00013125, 1.45, 2.621
13824, 2.53, 0.000125, 1.45, 2.612
13952, 2.49, 0.00011875, 1.43, 2.617
14080, 2.55, 0.0001125, 1.45, 2.61
14208, 2.49, 0.00010625, 1.44, 2.613
14336, 2.54, 0.0001, 1.42, 2.616
14464, 2.49, 9.375e-05, 1.45, 2.612
14592, 2.49, 8.75e-05, 1.42, 2.622
14720, 2.55, 8.125e-05, 1.43, 2.613
14848, 2.54, 7.5e-05, 1.45, 2.61
14976, 2.49, 6.875e-05, 1.43, 2.608
15104, 2.49, 6.25e-05, 1.43, 2.612
15232, 2.53, 5.625e-05, 1.44, 2.613
15360, 2.49, 5e-05, 1.43, 2.612
15488, 2.51, 4.375e-05, 1.42, 2.613
15616, 2.48, 3.75e-05, 1.42, 2.613
15744, 2.54, 3.125e-05, 1.42, 2.61
15872, 2.46, 2.5e-05, 1.42, 2.612
16000, 2.51, 1.875e-05, 1.44, 2.61
16128, 2.51, 1.25e-05, 1.42, 2.608
16256, 2.49, 6.25e-06, 1.42, 2.61
16384, 2.51, 0.0, 1.43, 2.608
